STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDV,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Maldives,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.004881382407497803,0.017072129748186088,0.020564591512432232,0.4330821009517734,0.4388755649095329,0.4709467414640903,0.4565755175906095,0.7053948471380898,0.8264194970184081,1.35728085398998,1.5101116576872025,2.177125876015065,2.834660023090478,3.8740471610743037,4.419019906090868,5.584788798929232,5.82133253659994
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MHL,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Marshall Islands,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,0.07216048491845865,0.06796248470844095,0.06264879087833605,0.06146281499692685,0.12674271229404308,0.13089005235602094,0.13183915622940012,0.13183915622940012,0.26333113890717574,0.46040515653775327,0.5519779208831647,0.5597252257982445,0.7372568958942418,1.0453850076491586,1.7179384738314023,1.7294543504491218,2.1450747953711544,2.401393554809008,2.425674835178505,2.425674835178505,2.425674835178505,2.425674835178505
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEN,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Benin,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389830508474576,2.5316455696202533,2.7777777777777777,1.9404761904761905,2.378787878787879,2.412698412698413,2.1125000000000003,1.8395061728395061,0.7009345794392523,0.0,0.0,0.1572052401746725,0.1875,0.0,0.0,0.7291666666666666,0.0,0.14367816091954022,1.1242424242424243,1.934782608695652,1.634441087613293,2.6782178217821784,1.0246212121212122,0.5470171890798786,0.2575488454706927
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KGZ,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Kyrgyz Republic,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,63.47571828121027,63.97404910316754,66.71984915512364,79.32419453418318,89.58508443493544,77.82989149457474,77.9134083539958,76.54182709135456,79.83139301485348,85.90024761230987,91.63485366017011,90.94900124387209,90.47978527092769,92.74659439412311,93.08698236576184,93.88489691760124,94.00605935412794,94.43088334457181,91.26389006701162,91.1125146620951,93.01322314049587,94.39965694682677,93.479694092827,93.47441296124474,91.25446060938786,85.13200306983883,86.69733071934851,91.55869270934055,92.22737520128824,91.69169698974528,90.74993508179693,85.5934733782534
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TGO,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Togo,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,60.12658227848101,68.19787985865725,76.64670658682635,79.58477508650519,59.91902834008097,82.52427184466019,79.83193277310924,64.58333333333334,57.14285714285714,48.13084112149533,51.42857142857142,75.22131147540983,60.28104575163399,,,,77.47747747747748,91.83673469387756,,,,,92.26256983240224,47.146496815286625,57.71153846153846,18.721854304635762,45.364444444444445,29.14326241134752,18.464527027027028,22.90468227424749,14.822075782537066,25.5873786407767
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MOZ,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Mozambique,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,61.60520607375272,67.85714285714286,77.56563245823389,86.86868686868688,91.72932330827066,91.54589371980676,93.15352697095436,96.73267326732673,99.50516664241013,99.45652173913044,91.13715993404782,99.62610303386839,99.69970182046454,99.6603325415677,99.60406739278422,99.84201050262566,99.86608472053052,99.92064279952845,99.91941222983658,99.9262656553184,99.85711722488038,99.38697087961573,99.35274154910833,98.69481302774426,98.7694223410071,92.65519848771267,82.51816554338669,80.09659863945579,81.5486901219441,78.70507349454718,83.25417849258909,82.7180194030642
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TKM,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Turkmenistan,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5.031265722705384,4.928536224741252,0.030344409042633892,0.03957261574990107,0.038113387327298714,0.04082049188692724,0.04951475539710833,0.05265374894692502,0.06374163391054924,0.05644615037254459,0.031995937023869984,0.029688972667295005,0.029439252336448597,0.02916666666666667,0.026426174496644292,0.02457098283931357,0.023076923076923075,0.021169354838709676,0.020944148936170214,0.019712140175219023,0.018907563025210083,0.018292682926829267,0.01774647887323944,0.016693163751987282,0.015441176470588236,0.013978876364604598,0.013298433740026176,0.013182122530967524,0.012419666443244095,0.013999999999999999,0.012227311544134773,0.011091549295774647
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LDC,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Least developed countries: UN classification,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,60.913093468689524,59.932021184096115,56.73138468103265,56.722090261282666,55.41805607014943,52.23792295264751,51.61645188810561,48.81950882942711,53.356172119113054,52.36660410819746,59.02901706893696,61.038025965537926,58.96344803679803,56.36581950965888,54.0809367431507,54.38377226538533,53.265410063415786,53.24910416181887,51.00025075571698,52.35686879311543,54.52431335777001,55.46815128093685,52.87563010243817,54.81612544303862,53.58142038707211,52.02996285515508,47.58917558185365,48.60904655541497,49.4439252574639,51.225785234743626,50.04191791191784,49.3510251743384
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUT,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Austria,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,64.88845587942895,63.417050288444734,70.62707560070326,72.5835066099464,69.44214409395468,69.19341929746554,65.21501457725948,66.69547121896161,68.47423729408256,69.48674192701496,73.16278955874431,69.84002946404266,69.90143842301477,62.13695283677336,65.43237934904602,64.68073677280344,66.56508299588884,69.63745313748386,70.10779195524375,72.30001302705284,67.755820492633,67.54162551471595,76.06025921793865,79.36820469307742,82.54022127815642,78.1278580070139,79.22847982666745,77.02418540743649,78.16539633035545,78.14707546407307,80.99662339094242,79.76487599808144
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LKA,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,Renewable electricity output (% of total electricity output),0,WB_WDI,PU,A,Annual,Sri Lanka,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,99.84126984126985,92.2712466686408,81.92090395480226,95.40085448605177,93.20720310006838,92.71137026239067,71.78807947019867,66.99708454810495,68.88967094844273,67.48059508408797,45.81282124500285,46.043946320601684,38.18061238888105,43.08385173665111,36.13855494839102,37.22790647790648,49.00031578947369,40.06494293505706,41.583408295852074,39.298317644702585,53.037959448199246,40.77783496311545,29.271237711116715,59.780004990434996,52.77441617847685,48.474965862539825,32.62321478577429,30.01043868921776,45.04936285236195,34.388665719053215,35.19810518644479,49.23803511993573
